POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
262,Tilak Varma,38,27,140.74,2,2,LSG,Wankhede Stadium,24 April 2022
263,Tilak Varma,51,43,118.6,3,2,CSK,DY Patil Stadium,21 April 2022
264,Tilak Varma,36,20,180,3,2,PBKS,Maharashtra Cricket Association Stadium,13 April 2022
265,Tilak Varma,35,30,116.66,1,2,RR,DY Patil Stadium,30 April 2022
266,Jitesh Sharma,44,34,129.41,3,2,DC,DY Patil Stadium,16 May 2022
267,Jitesh Sharma,30,15,200,2,2,MI,Maharashtra Cricket Association Stadium,13 April 2022
268,Jitesh Sharma,23,11,209.09,1,2,GT,Brabourne - CCI,08 April 2022
269,Jitesh Sharma,38,18,211.11,4,2,RR,Wankhede Stadium,07 May 2022
270,Virat Kohli,58,53,109.43,6,1,GT,Brabourne - CCI,30 April 2022
271,Virat Kohli,20,14,142.85,2,1,PBKS,Brabourne - CCI,13 May 2022
272,Virat Kohli,30,33,90.9,3,1,CSK,Maharashtra Cricket Association Stadium,04 May 2022
273,Virat Kohli,7,8,87.5,0,1,RR,Narendra Modi Stadium,27 May 2022
274,Aaron Finch,7,5,140,0,1,SRH,Brabourne - CCI,15 April 2022
275,Rohit Sharma,26,15,173.33,4,1,RCB,Maharashtra Cricket Association Stadium,09 April 2022
276,Rohit Sharma,39,31,125.8,5,1,LSG,Wankhede Stadium,24 April 2022
277,Rohit Sharma,10,5,200,0,1,RR,DY Patil Stadium,02 April 2022
278,Shikhar Dhawan,62,53,116.98,8,1,GT,DY Patil Stadium,03 May 2022
279,Shikhar Dhawan,43,29,148.27,5,1,RCB,DY Patil Stadium,27 March 2022
280,Shikhar Dhawan,21,15,140,2,1,RCB,Brabourne - CCI,13 May 2022
281,Shikhar Dhawan,16,15,106.66,1,1,KKR,Wankhede Stadium,01 April 2022
282,Shikhar Dhawan,33,24,137.5,4,1,CSK,Brabourne - CCI,03 April 2022
283,Shreyas Iyer,34,32,106.25,3,1,RR,Wankhede Stadium,02 May 2022
284,Shreyas Iyer,12,15,80,1,1,GT,DY Patil Stadium,23 April 2022
